Serviceeinrichtung";"Stationspreis SPFV - Anteil
Serviceeinrichtung";Bemerkung
1;go.R;Aachen Hbf;2;Nordrhein-Westfalen;17,01 €;44,74 €;
7205;go.R;Aachen Schanz;5;Nordrhein-Westfalen;2,69 €;7,09 €;
3;go.R;Aachen West;5;Nordrhein-Westfalen;2,69 €;7,09 €;
2;go.R;Aachen-Rothe Erde;4;Nordrhein-Westfalen;2,69 €;6,76 €;
4;VM BW;Aalen Hbf;3;Baden-Württemberg;5,29 €;13,61 €;
5;BEG;Abensberg;6;Bayern;2,89 €;7,59 €;
6;VM BW;Achern;4;Baden-Württemberg;3,92 €;10,18 €;
7;LNVG;Achim;4;Niedersachsen;4,96 €;13,09 €;
8;LNVG;Achmer;6;Niedersachsen;4,23 €;10,34 €;
7225;NAH.SH;Achterwehr;7;Schleswig-Holstein;2,21 €;5,91 €;
11;LNVG;Adelebsen;6;Niedersachsen;4,23 €;10,34 €;
12;BEG;Adelschlag;6;Bayern;2,89 €;7,59 €;
13;BEG;Adelsdorf (Mittelfr);6;Bayern;2,89 €;7,59 €;
14;VM BW;Adelsheim Nord;6;Baden-Württemberg;2,35 €;6,18 €;
15;VM BW;Adelsheim Ost;6;Baden-Württemberg;2,35 €;6,18 €;
17;ZVV;Adorf (Vogtl);5;Sachsen;7,39 €;19,71 €;
18;VM BW;Affaltrach;6;Baden-Württemberg;2,35 €;6,18 €;
19;BEG;Agatharied;6;Bayern;2,89 €;7,59 €;
20;LNVG;Agathenburg;6;Niedersachsen;4,23 €;10,34 €;
8168;VM BW;Aglasterhausen;7;Baden-Württemberg;1,90 €;5,07 €;
21;VM BW;Aha;6;Baden-Württemberg;2,35 €;6,18 €;
22;NWL;Ahaus;6;Nordrhein-Westfalen;3,85 €;9,87 €;
23;NWL;Ahlen (Westf);4;Nordrhein-Westfalen;5,03 €;11,82 €;
24;LNVG;Ahlhorn;6;Niedersachsen;4,23 €;10,34 €;
25;RH;Ahlten (Han);5;Niedersachsen;4,35 €;11,59 €;
908;ZVRP Nord;Ahrbrück;6;Rheinland-Pfalz;2,27 €;5,85 €;
27;NAH.SH;Ahrensburg;4;Schleswig-Holstein;4,78 €;12,76 €;
8169;NAH.SH;Ahrensburg-Gartenholz;5;Schleswig-Holstein;3,75 €;9,91 €;
28;VBB Berlin;Ahrensfelde;4;Berlin;2,00 €;5,33 €;
29;VBB;Ahrensfelde Friedhof;6;Brandenburg;3,98 €;10,22 €;
30;VBB;Ahrensfelde Nord;6;Brandenburg;3,98 €;10,22 €;
31;ZVRP Nord;Ahrweiler;6;Rheinland-Pfalz;2,27 €;5,85 €;
32;ZVRP Nord;Ahrweiler Markt;6;Rheinland-Pfalz;2,27 €;5,85 €;
34;BEG;Aichach;5;Bayern;2,72 €;7,01 €;
35;VM BW;Aichstetten;6;Baden-Württemberg;2,35 €;6,18 €;
36;BEG;Ainring;6;Bayern;2,89 €;7,59 €;
40;VM BW;Albbruck;6;Baden-Württemberg;2,35 €;6,18 €;
41;NAH.SH;Albersdorf;7;Schleswig-Holstein;2,21 €;5,91 €;
42;ZÖPNV Süd;Albersweiler (Pfalz);6;Rheinland-Pfalz;1,99 €;5,22 €;
44;ZÖPNV Süd;Albig;6;Rheinland-Pfalz;1,99 €;5,22 €;
45;VBB Berlin;Albrechtshof;5;Berlin;1,96 €;5,19 €;
46;RMV;Albshausen;6;Hessen;2,48 €;6,52 €;
7201;ZÖPNV Süd;Albsheim (Eis);7;Rheinland-Pfalz;1,49 €;4,01 €;
7891;VM BW;Albstadt Ebingen West;6;Baden-Württemberg;2,35 €;6,18 €;
47;VM BW;Albstadt-Ebingen;5;Baden-Württemberg;2,91 €;7,35 €;
49;VM BW;Albstadt-Laufen Ort;6;Baden-Württemberg;2,35 €;6,18 €;
