bf_nr,aufgabentraeger,bahnhof,preisklasse,bundesland,preis_spnv,preis_spfv,bemerkung
,1goR,AachenHbf,2,Nordrhein-Westfalen,17.01,44.74,
7205goR,,AachenSchanz,5,Nordrhein-Westfalen,2.69,7.09,
,3goR,AachenWest,5,Nordrhein-Westfalen,2.69,7.09,
,2goR,Aachen-RotheErde,4,Nordrhein-Westfalen,2.69,6.76,
,4VMBW,AalenHbf,3,Baden-Württemberg,5.29,13.61,
,5BEG,Abensberg,6,Bayern,2.89,7.59,
,6VMBW,Achern,4,Baden-Württemberg,3.92,10.18,
,7LNVG,Achim,4,Niedersachsen,4.96,13.09,
,8LNVG,Achmer,6,Niedersachsen,4.23,10.34,
7225NAHSH,,Achterwehr,7,Schleswig-Holstein,2.21,5.91,
11LNVG,,Adelebsen,6,Niedersachsen,4.23,10.34,
12BEG,,Adelschlag,6,Bayern,2.89,7.59,
13BEG,,Adelsdorf(Mittelfr),6,Bayern,2.89,7.59,
,14VMBW,AdelsheimNord,6,Baden-Württemberg,2.35,6.18,
,15VMBW,AdelsheimOst,6,Baden-Württemberg,2.35,6.18,
17ZVV,,Adorf(Vogtl),5,Sachsen,7.39,19.71,
,18VMBW,Affaltrach,6,Baden-Württemberg,2.35,6.18,
19BEG,,Agatharied,6,Bayern,2.89,7.59,
20LNVG,,Agathenburg,6,Niedersachsen,4.23,10.34,
8168VMBW,,Aglasterhausen,7,Baden-Württemberg,1.9,5.07,
,21VMBW,Aha,6,Baden-Württemberg,2.35,6.18,
22NWL,,Ahaus,6,Nordrhein-Westfalen,3.85,9.87,
23NWL,,Ahlen(Westf),4,Nordrhein-Westfalen,5.03,11.82,
24LNVG,,Ahlhorn,6,Niedersachsen,4.23,10.34,
25RH,,Ahlten(Han),5,Niedersachsen,4.35,11.59,
,908ZVRPNord,Ahrbrück,6,Rheinland-Pfalz,2.27,5.85,
,27NAHSH,Ahrensburg,4,Schleswig-Holstein,4.78,12.76,
8169NAHSH,,Ahrensburg-Gartenholz,5,Schleswig-Holstein,3.75,9.91,
,28VBBBerlin,Ahrensfelde,4,Berlin,2.0,5.33,
29VBB,,AhrensfeldeFriedhof,6,Brandenburg,3.98,10.22,
30VBB,,AhrensfeldeNord,6,Brandenburg,3.98,10.22,
,31ZVRPNord,Ahrweiler,6,Rheinland-Pfalz,2.27,5.85,
,32ZVRPNord,AhrweilerMarkt,6,Rheinland-Pfalz,2.27,5.85,
34BEG,,Aichach,5,Bayern,2.72,7.01,
,35VMBW,Aichstetten,6,Baden-Württemberg,2.35,6.18,
36BEG,,Ainring,6,Bayern,2.89,7.59,
,40VMBW,Albbruck,6,Baden-Württemberg,2.35,6.18,
,41NAHSH,Albersdorf,7,Schleswig-Holstein,2.21,5.91,
,42ZÖPNVSüd,Albersweiler(Pfalz),6,Rheinland-Pfalz,1.99,5.22,
,44ZÖPNVSüd,Albig,6,Rheinland-Pfalz,1.99,5.22,
,45VBBBerlin,Albrechtshof,5,Berlin,1.96,5.19,
46RMV,,Albshausen,6,Hessen,2.48,6.52,
7201ZÖPNVSüd,,Albsheim(Eis),7,Rheinland-Pfalz,1.49,4.01,
7891VMBW,,AlbstadtEbingenWest,6,Baden-Württemberg,2.35,6.18,
,47VMBW,Albstadt-Ebingen,5,Baden-Württemberg,2.91,7.35,
,49VMBW,Albstadt-LaufenOrt,6,Baden-Württemberg,2.35,6.18,
,50VMBW,Albstadt-Lautlingen,6,Baden-Württemberg,2.35,6.18,
51VRR,,Aldekerk,6,Nordrhein-Westfalen,2.76,7.0,
7960VMBW,,Aldingen,6,Baden-Württemberg,2.35,6.18,
52BEG,,Aletshausen,7,Bayern,2.13,5.65,
,53VBBBerlin,Alexanderplatz,3,Berlin,3.81,10.19,
54LNVG,,Alfeld(Leine),4,Niedersachsen,4.96,13.09,
