@id;name;@lat;@lon;railway;public_transport;Index1_df0;Code_df0;Serviceeinrichtung_df0;Category_df0;State_df0;Price_SPNV_df0;Price_SPFV_df0;Bemerkung_df0;match_type;match_score;match_subtype;confidence;explanation
10862294;Augsburg Morellstraße;48.355178;10.8930876;station;station;222;BEG;Augsburg Morellstraße;6.0;Bayern;2,89 €;7,59 €;;exact;100;;;
11298382;Walleshausen;48.1502328;10.9810559;station;station;6510;BEG;Walleshausen;6.0;Bayern;2,89 €;7,59 €;;exact;100;;;
11298551;Raisting;47.9116453;11.1144728;halt;stop_position;5104;BEG;Raisting;6.0;Bayern;2,89 €;7,59 €;;exact;100;;;
11420145;Mindelaltheim;48.4562071;10.4077166;halt;station;4118;BEG;Mindelaltheim;6.0;Bayern;2,89 €;7,59 €;;exact;100;;;
11420196;Freihalden;48.3844694;10.5025;halt;station;1903;BEG;Freihalden;6.0;Bayern;2,89 €;7,59 €;;exact;100;;;
11420198;Burgau (Schwab);48.4251243;10.4268158;station;;979;BEG;Burgau (Schwab);5.0;Bayern;2,72 €;7,01 €;;exact;100;;;
13354935;Wernau (Neckar);48.6943119;9.4139091;halt;station;6687;VM BW;Wernau (Neckar);4.0;Baden-Württemberg;3,92 €;10,18 €;;exact;100;;;
13354966;Esslingen (Neckar);48.7385898;9.3003518;station;station;1716;VM BW;Esslingen (Neckar);3.0;Baden-Württemberg;5,29 €;13,61 €;;exact;100;;;
13620866;Memmingen;47.985407;10.1869867;station;station;4051;BEG;Memmingen;3.0;Bayern;4,75 €;12,53 €;;exact;100;;;
13624179;Günzach;47.819606;10.4390919;station;station;2421;BEG;Günzach;6.0;Bayern;2,89 €;7,59 €;;exact;100;;;
13796529;Kaufering;48.0812007;10.8548739;station;station;3142;BEG;Kaufering;4.0;Bayern;3,19 €;7,89 €;;exact;100;;;
