@id,name,@lat,@lon,railway,public_transport
10862294,Augsburg Morellstraße,48.3551780,10.8930876,station,station
11298382,Walleshausen,48.1502328,10.9810559,station,station
11298518,Weilheim (Oberbayern),47.8452213,11.1430287,station,station
11298551,Raisting,47.9116453,11.1144728,halt,stop_position
11305402,Markt Wald,48.1467398,10.5939468,station,
11305526,Langenneufnach,48.2640954,10.6071130,station,
11305593,Mittelneufnach,48.1762316,10.5980597,station,
11305608,Walkertshofen,48.2271244,10.5912509,station,
11305646,Reichertshofen,48.1984788,10.5981748,station,
11420145,Mindelaltheim,48.4562071,10.4077166,halt,station
11420196,Freihalden,48.3844694,10.5025000,halt,station
11420198,Burgau (Schwab),48.4251243,10.4268158,station,
13354935,Wernau (Neckar),48.6943119,9.4139091,halt,station
13354966,Esslingen (Neckar),48.7385898,9.3003518,station,station
13620866,Memmingen,47.9854070,10.1869867,station,station
13624179,Günzach,47.8196060,10.4390919,station,station
13796529,Kaufering,48.0812007,10.8548739,station,station
13796546,Landsberg (Lech) Schule,48.0535972,10.8694838,station,station
13796591,Schrobenhausen,48.5654031,11.2594688,station,station
13796818,Schondorf,48.0526616,11.0899427,station,station
13796820,Riederau,47.9828753,11.0971593,station,station
13796821,Dießen,47.9502678,11.1080486,station,station
13801897,Nonnenhorn,47.5752782,9.6124649,station,station
13801898,Wasserburg (Bodensee),47.5718803,9.6389822,halt,station
13801901,Lindau-Insel,47.5442020,9.6808298,station,station
13802087,Eichstätt Stadt,48.8935574,11.1794636,halt,station
13802088,Rebdorf-Hofmühle,48.8922160,11.1694871,halt,station
13802089,Wasserzell (b Eichstätt),48.8753722,11.1679723,station,station
13803230,Rohrbach (Ilm),48.6063422,11.5733318,station,station
13804661,Adelschlag,48.8407131,11.2115406,halt,station
13876509,Übersee,47.8220816,12.4872990,station,station
13876512,Bad Endorf (Oberbay),47.9048551,12.3018108,station,station
13876514,Großkarolinenfeld,47.8888133,12.0849115,station,station
13876515,Ostermünchen,47.9421742,12.0415581,station,station
13876516,Aßling (Oberbayern),47.9895751,11.9935104,station,station
13878759,Huglfing,47.7767900,11.1405351,station,station
13895570,Martinlamitz,50.2152727,11.9504078,halt,station
13895742,Marktleuthen,50.1306366,12.0130957,station,station
13895972,Röslau,50.0750486,11.9942343,halt,station
13895973,Wunsiedel-Holenbrunn,50.0510947,12.0338916,station,station
13896024,Marktredwitz,50.0044648,12.0824010,station,station
13924098,Weiden (Oberpf),49.6704625,12.1539802,station,station
13924141,Windischeschenbach,49.7944371,12.1653334,station,station
13925786,Mittenwald,47.4399924,11.2657490,station,station
13925787,Klais,47.4830341,11.2384212,station,station
13927006,Garmisch-Partenkirchen,47.4915407,11.0970176,station,station
13929049,Eschenlohe,47.6017819,11.1879590,station,station
13929109,Oberau,47.5596144,11.1393003,station,station
14012290,Regenstauf,49.1220574,12.1251367,station,station
14012294,Irrenlohe,49.3627620,12.1013364,station,station
14015279,Poikam,48.9317295,12.0140394,halt,station
14016470,Neuburg (Kammel),48.3028573,10.3656838,halt,
14016473,Kleinkötz,48.4118046,10.2884405,halt,stop_position
14017100,Krumbach (Schwaben),48.2475801,10.3585488,station,station
14017104,Breitenbrunn (Schwab),48.1386272,10.4084597,halt,
14017106,Pfaffenhausen,48.1177280,10.4519704,station,
14017107,Hausen (Schwab),48.1007830,10.4829682,halt,station
14017108,Nassenbeuren,48.0781710,10.5037667,halt,station
14017109,Mindelheim,48.0449169,10.5016383,station,station
14017137,Niederraunau,48.2212950,10.3745349,halt,
14017153,Loppenhausen,48.1628946,10.3907772,halt,stop_position
14332499,Dorfen Bahnhof,48.2671047,12.1598381,station,station
14334687,Landau (Isar),48.6828553,12.6950655,station,station
14334692,Passau Hbf,48.5737124,13.4504744,station,station
14405187,Weichering,48.7206641,11.3304832,station,station
14405188,Rohrenfeld,48.7212768,11.2590305,station,station
14405769,Schwenningen (Bayern),48.6564081,10.6427546,halt,station
15431109,Ansbach,49.2979431,10.5777328,station,station
15431113,Oberdachstetten,49.4179773,10.4237258,station,station
15431862,Windsbach,49.2496872,10.8256999,halt,station
15432249,Nürnberg-Stein,49.4252777,11.0176745,station,station
15477970,Triesdorf,49.2002517,10.6800339,station,station
15477972,Gunzenhausen,49.1206793,10.7556064,station,station
17658611,Darmstadt-Eberstadt,49.8144694,8.6259571,station,station
17658613,Bickenbach (Bergstraße),49.7604953,8.6036351,station,station
17658624,Bensheim-Auerbach,49.7016019,8.6132493,station,station
17658630,Bensheim,49.6807910,8.6168080,station,station
17658651,Hemsbach,49.5913178,8.6486167,station,station
19087933,Durmersheim Nord,48.9377105,8.2804795,halt,station
19087937,Durmersheim,48.9286309,8.2724003,station,station
19087938,Bietigheim,48.9105348,8.2580046,halt,station
19087940,Ötigheim,48.8885741,8.2405252,station,station
19092907,Baiersbronn,48.5036975,8.3720364,station,station
19096025,Röt,48.5557083,8.3974067,halt,stop_position
19096063,Huzenbach,48.5826359,8.3912653,halt,station
19096224,Schwarzenberg,48.5988352,8.3837041,halt,station
21276659,Geigant,49.3234133,12.6815188,halt,station
21276684,Willmering,49.2465972,12.6701742,halt,station
21294574,Kulmbach,50.1098550,11.4518382,station,station
21301567,Wissingen,52.2585366,8.2039781,station,station
21302157,Tiergarten,52.5143746,13.3364504,station,station
21303961,Westerhausen,52.2361633,8.2791163,halt,station
21303996,Bünde (Westf),52.2022460,8.5743329,station,station
21304009,Kirchlengern,52.1967257,8.6439681,station,station
21306303,Hannover Anderten/Misburg,52.3691730,9.8607771,halt,station
21306328,Lehrte,52.3764871,9.9742264,station,station
21308179,Meinersen,52.4492981,10.3217888,station,station
21322676,Rastatt,48.8605562,8.2156411,station,station
21385751,Storkower Straße,52.5237432,13.4648885,halt,station
21386662,Bühl (Baden),48.6965896,8.1293925,halt,station
21387034,Gengenbach,48.4045788,8.0101727,station,station
21387066,Steinach (Baden),48.2994750,8.0560897,station,
21387242,Hornberg,48.2119914,8.2330817,station,station
21412509,Ladenburg,49.4745688,8.6030889,station,station
21412516,Neu-Edingen/Friedrichsfeld,49.4487505,8.5802752,station,station
21412520,Weinheim (Bergstraße) Hbf,49.5534610,8.6655340,station,station
21412528,Heddesheim/Hirschberg,49.5093513,8.6336719,station,station
21438697,Lichtenfels,50.1462694,11.0589522,station,station
21474012,Quickborn Süd,53.7230360,9.9075065,station,station
21487225,Jannowitzbrücke,52.5142146,13.4194925,halt,station
21618706,Alpirsbach,48.3439543,8.3982995,station,station
21618713,Loßburg-Rodt,48.4178698,8.4530561,halt,stop_position
21661361,Eystrup,52.7839495,9.2311697,station,station
21769883,Freiburg (Breisgau) Hauptbahnhof,47.9977308,7.8412948,station,station
21935926,Lübeck-St. Jürgen,53.8422971,10.7021069,halt,station
22314914,Geestenseth,53.5065706,8.8592990,station,station
22314990,Brest-Aspe,53.4605814,9.3825440,halt,station
